day,date,ticker,close
1,2026-06-01,AAPL,306.31
1,2026-06-01,MSFT,460.52
1,2026-06-01,TSLA,415.88
1,2026-06-01,AMZN,261.26
1,2026-06-01,GOOG,372.36
2,2026-06-02,AAPL,315.2
2,2026-06-02,MSFT,441.31
2,2026-06-02,TSLA,423.74
2,2026-06-02,AMZN,256.52
2,2026-06-02,GOOG,358.17
3,2026-06-03,AAPL,310.26
3,2026-06-03,MSFT,427.34
3,2026-06-03,TSLA,423.7
3,2026-06-03,AMZN,250.02
3,2026-06-03,GOOG,355.47
4,2026-06-04,AAPL,311.23
4,2026-06-04,MSFT,428.05
4,2026-06-04,TSLA,418.45
4,2026-06-04,AMZN,253.79
4,2026-06-04,GOOG,369.05
5,2026-06-05,AAPL,307.34
5,2026-06-05,MSFT,416.67
5,2026-06-05,TSLA,391.0
5,2026-06-05,AMZN,246.03
5,2026-06-05,GOOG,365.54
6,2026-06-08,AAPL,301.54
6,2026-06-08,MSFT,411.74
6,2026-06-08,TSLA,408.95
6,2026-06-08,AMZN,245.22
6,2026-06-08,GOOG,361.17
7,2026-06-09,AAPL,290.55
7,2026-06-09,MSFT,403.41
7,2026-06-09,TSLA,396.68
7,2026-06-09,AMZN,244.19
7,2026-06-09,GOOG,362.29
8,2026-06-10,AAPL,291.58
8,2026-06-10,MSFT,397.36
8,2026-06-10,TSLA,381.59
8,2026-06-10,AMZN,238.0
8,2026-06-10,GOOG,353.32
9,2026-06-11,AAPL,295.63
9,2026-06-11,MSFT,390.34
9,2026-06-11,TSLA,399.15
9,2026-06-11,AMZN,241.51
9,2026-06-11,GOOG,356.56
10,2026-06-12,AAPL,291.58
10,2026-06-12,MSFT,385.2
10,2026-06-12,TSLA,396.25
10,2026-06-12,AMZN,236.51
10,2026-06-12,GOOG,360.99
